,Weight/100,Monday.com,,Workiom,,Datalexing,,Trello,,Asana,,Notion,,Bitrix24,,ClickUp,,Plane,,Aha.io,,Stemexe,
Free tier,10,6,"Offers a free ""Individual"" plan for up to 2 users, including unlimited boards, docs, and 500+ templates, but lacks advanced features like timelines, Gantt views, and automations.",7,Free plan includes basic features with limits on workspaces and records; suitable for small teams starting out.,6,Limited free tier with basic data visualization capabilities; advanced features require paid subscription.,9,"Generous free plan with unlimited cards, up to 10 boards per workspace, and unlimited Power-Ups (with limitations).",8,"Free plan for up to 15 users with basic features including tasks, projects, and limited integrations.",9,Generous free personal plan with unlimited pages and blocks; team features require paid upgrade.,9,"Free plan for unlimited users with basic CRM, tasks, and collaboration tools, though with feature limitations.",10,"Extensive free plan with unlimited tasks, users, and 100+ templates; includes many features competitors put behind paywalls.",10,Completely free and open-source with no usage limits; can be self-hosted at no cost.,6,Free plan for up to 5 users with basic roadmapping and idea management features.,7,Free tier available with basic task management features for small teams.
Team tier,10,6,"The ""Basic"" plan starts at approximately $8/user/month (billed annually) and includes unlimited viewers, 5 GB of storage, and integrations, but removes the 2-user limit and adds unlimited items.",8,"Team pricing approximately $5-8/user/month for advanced features, automations, and increased record limits.",5,Team plans start around $10-15/user/month for enhanced data processing and visualization capabilities.,8,"Standard plan at $5/user/month and Premium at $10/user/month (annual) adding unlimited boards, advanced checklists, and automation.",6,"Premium plan at $10.99/user/month (annual) adding timelines, Gantt, advanced search, and unlimited integrations.",7,"Plus plan at $8/user/month (annual) adding unlimited file uploads, guest access, and version history for teams.",5,Basic plan at approximately $15/user/month for core team collaboration and task management features.,8,"Unlimited plan at $7/user/month (annual) adding Gantt, timelines, unlimited integrations, and advanced automation.",10,"N/A (completely free, open-source platform)",4,"Advanced plan at approximately $20/user/month for enhanced roadmapping, prioritization tools, and integrations.",8,Team pricing approximately $5-8/user/month for advanced features and increased project capacity.
Business tier,10,6,"The ""Pro"" plan, at around $16/user/month (billed annually), unlocks advanced features critical for PMs, including timeline and Gantt views, automations, private boards, and time tracking.",6,"Business plans around $15-20/user/month for advanced permissions, dedicated support, and enterprise-grade features.",5,"Business/Enterprise pricing custom-quoted based on data volume, users, and specific compliance requirements.",6,"Enterprise plan at $17.50/user/month (annual) with unlimited workspaces, advanced admin controls, and attachment permissions.",4,"Business plan at $24.99/user/month (annual) with portfolios, workload management, forms, and advanced reporting.",7,"Business plan at $15/user/month (annual) with advanced permissions, bulk export, and SAML SSO for enterprise teams.",3,"Standard and Professional plans ranging $25-50/user/month for CRM, telephony, and advanced business process automation.",8,"Business plan at $12/user/month (annual) with custom exporting, advanced dashboards, and priority support.",10,"N/A (completely free, open-source platform)",4,"Enterprise plan with custom pricing for advanced security, premium support, and unlimited workspaces.",6,Business plans custom-quoted for larger teams with advanced security and dedicated support.
Israel Presence & Ties Assessment,40,0,,38.5,,38.5,,38.5,,38.5,,36,,38.5,,40,,40,,40,,40,
Headquarters Location,10,0,"Headquarters are located in Tel Aviv, Israel, making it an officially Israeli-founded and headquartered company.",10,Headquarters in Kuwait; primarily serves Middle Eastern and North African markets.,10,Headquarters in Cyprus; operates as an international data solutions company.,10,"Headquarters in Sydney, Australia (parent company Atlassian headquartered there).",10,"Headquarters in San Francisco, California, USA.",10,"Headquarters in San Francisco, California, USA.",10,"Headquarters in Grand-Duchy of Luxembourg; development office in Kaliningrad, Russia.",10,"Headquarters in San Diego, California, USA.",10,Open-source project with no central headquarters; developed by community contributors globally.,10,"Headquarters in Menlo Park, California, USA.",10,Headquarters in Singapore; serves primarily Asian and Pacific markets.
Israeli Data Centers,10,0,"monday.com utilizes Amazon Web Services (AWS) for its infrastructure; while AWS has a region in Israel, monday.com does not exclusively guarantee Israeli data residency by default for all customers.",10,No Israeli data centers; serves regional markets from Middle Eastern infrastructure.,10,No Israeli data centers; operates from European infrastructure.,10,No dedicated Israeli data centers; uses global cloud infrastructure (AWS) without specific Israel region guarantee.,10,No dedicated Israeli data centers; uses global cloud infrastructure without specific Israel region guarantee.,10,No dedicated Israeli data centers; uses global cloud providers without specific Israel region guarantee.,10,No Israeli data centers; primarily serves markets from European and Russian infrastructure.,10,No dedicated Israeli data centers; uses global cloud infrastructure without specific Israel region guarantee.,10,Self-hosted option available; users can deploy on Israeli servers if they choose to manage their own hosting.,10,No dedicated Israeli data centers; uses global cloud infrastructure without specific Israel region guarantee.,10,No Israeli data centers; serves Asian markets from regional infrastructure.
Israeli Founder/Leadership,10,0,"Co-founded by Roy Mann and Eran Zinman, both Israeli citizens, and the executive leadership team remains based primarily in Israel.",10,No known Israeli founders or leadership; management based in Kuwait.,10,No known Israeli founders or leadership; company operates from Cyprus.,10,No Israeli founders; Atlassian founded by Australians.,10,No Israeli founders; founded by two MIT graduates.,10,No Israeli founders; founded by three entrepreneurs including Ivan Zhao (China).,10,No Israeli founders; leadership based primarily in Europe and Russia.,10,No Israeli founders; founded by Zeb Evans in the United States.,10,Open-source project with diverse global contributors; no single founder or leadership structure.,10,No Israeli founders; leadership based in Silicon Valley.,10,No Israeli founders; leadership based in Singapore.
Major Israeli Investment,5,0,"The company received significant early funding from Israeli venture capital funds, including Entrée Capital, before its IPO on Nasdaq.",5,No known major Israeli investment funding.,5,No known major Israeli investment funding.,5,No known major Israeli investment; publicly traded on NASDAQ (TEAM) with diverse institutional investors.,5,No known major Israeli investment; publicly traded with diverse global institutional investors.,2.5,No known major Israeli investment; backed by Silicon Valley VCs including Sequoia.,5,No known major Israeli investment; privately held with European investment backing.,5,No known major Israeli investment; venture-backed by US-based firms including Craft Ventures.,5,No investment structure; community-supported open-source project.,5,No known major Israeli investment; backed by Silicon Valley VCs including Sequoia and IVP.,5,No known major Israeli investment; privately held with Asian investment backing.
Israeli Partnerships,2.5,0,Maintains strong partnerships within the Israeli tech ecosystem and has a large customer base among Israeli businesses and enterprises.,1,Limited presence in Israeli market; no significant Israeli partnerships documented.,1,Limited presence in Israeli market; no significant Israeli partnerships documented.,1,Has some Israeli customers but no exclusive partnerships; operates globally through resellers including in Israel.,1,Has Israeli customer base including tech companies but no exclusive Israeli partnerships prominently featured.,1,Popular among Israeli tech community and startups; has significant user base in Israel but no formal partnerships.,1,Limited Israeli market presence; partnerships focused on European and Russian markets.,2.5,Growing presence in Israeli market with some local customers; partnerships not prominently Israeli-focused.,2.5,Can be used by Israeli organizations but no formal partnerships; community includes global contributors.,2.5,Has Israeli customers in tech sector but no exclusive Israeli partnerships documented.,2.5,Limited Israeli market presence; partnerships focused on Asian markets.
Leadership Pro-Israel Statements,2.5,0,The company has made statements iterating Israel's right to self defense -- no words for the rights of Palestinians,2.5,No known pro-Israel statements from leadership; focuses on regional Middle Eastern markets.,2.5,No known pro-Israel statements; company maintains neutral business focus.,2.5,No known pro-Israel statements; Atlassian maintains neutral corporate position on geopolitical matters.,2.5,No known pro-Israel statements; company focuses on business and product innovation without political advocacy.,2.5,No known pro-Israel statements; maintains neutral corporate stance on geopolitical matters.,2.5,No known pro-Israel statements; leadership focuses on European and Russian business development.,2.5,No known pro-Israel statements; company maintains neutral position on geopolitical matters.,2.5,No central leadership to make such statements; community-driven project without political positioning.,2.5,No known pro-Israel statements; focuses on product management innovation without political engagement.,2.5,No known pro-Israel statements; company maintains neutral business focus on Asian markets.
Recommendation & Risk Summary,,,,,,,,,,,,,,,,,,,,,,,
Overall Risk Level,,,,,,,,,,,,,,,,,,,,,,,
Best Use Case,,,,,,,,,,,,,,,,,,,,,,,
Recommendation,,,,,,,,,,,,,,,,,,,,,,,
